"id","rdio_key","name","echo_nest_id"
3,"r171154","Tortoise","ARUDZ3P1187B9A2E66"
4,"r45038","Descendents","ARANOZN1187B9B373E"
6,"r62","Various Artists","ARAGWS81187FB3F768"
7,"r6988","Berlin","ARYBGMF1187FB4D82C"
9,"r3050432","Sylvan Esso","ARKQYBB13F86D75342"
10,"r85592","Built To Spill","ARIHJ7L1187FB3AA86"
11,"r1326531","Self Defense Family","ARREEML13294027BFF"
13,"r700108","St. Vincent","AR0JBXL1187FB52810"
14,"r88706","Apollonia","AR1DZ4U1187FB589DF"
16,"r4795","Aretha Franklin","AR7BGWD1187FB59CCB"
17,"r261375","Jennifer Lopez","AR7C6G11187B9B4C1E"
18,"r138607","Portishead","ARJVTD81187FB51621"
20,"r5527","Roy Orbison","ARFSZXM1187FB5A941"
21,"r19453","Cannibal Ox","AR78L6W1187FB416F8"
290,"r85612","Björk","ARAOQ5T1187FB435AB"
302,"r11057","Chris Bathgate","AR6CEPX1187FB3AB1D"
354,"r85662","Ariel Pink's Haunted Graffiti","ARII7MH1187FB4F993"
367,"r112318","Matt Redman","AR5BBK81187B990027"
380,"r275848","Devin Townsend Project","ARIXXLC122BCFC957B"
395,"r5952","Donna Summer","ARVU2XO1187B9893DB"
407,"r88414","Flight Of The Conchords","AR1FQLN1187FB3996C"
421,"r82002","Destroyer","ARD4OBE1187B98C304"
434,"r240952","Sammie","AR9BQRE1187B9953E2"
446,"r70835","Count Bass D","ARRRFA71187B98F09B"
460,"r341953","News","ARULA731187FB40238"
474,"r296069","John Bond","ARXKYEN1241B9CD47E"
487,"r69643","Leonard Cohen","ARTQ8QP1187FB3D220"
274,"r179631","Madvillain","AR0Q6XH1187FB3CDE3"
275,"r12910","Charles Aznavour","ARWJAMZ1187B9B32CA"
276,"r139104","Alice In Chains","ARSW5F51187FB4CFC9"
277,"r463451","Josh Joplin Group","ARUEQIJ1187B9AD7AD"
278,"r411879","Lecrae","ARKJBGA1187B9973AF"
279,"r85647","The Incredible String Band","ARD43IF1187FB3B5E3"
280,"r259147","Pat Green","AR8B7SK1187FB5322E"
281,"r89246","Lanterna","AR6PRDC1187B9AE417"
282,"r639645","peixe : avião","ARNAKGX12086C13290"
283,"r86514","Headlights","ARQHNLD1187B9A58D0"
284,"r38016","Pastor Troy","ARABEE51187FB572FE"
285,"r2089298","Jed Madela","ARXPQQK1187FB45C95"
286,"r54676","Billy Joel","ARNYFVH1187B9B6A9E"
287,"r186940","La Roux","ARD6VHG11C8A414FC6"
288,"r28835","Viktor Vaughn","ARGWSIE1187B9B155E"
289,"r174945","Michael Learns To Rock","ARZU6MI1187FB58636"
145,"r101755","Ben Harper","AR0962A1187B9B43E9"
293,"r37770","Charlie Hunter","ARHMYE81187FB52267"
305,"r140592","The Black Keys","ARS8GNX1187B9B5141"
357,"r37530","September","ARNEHRO1187FB4B0C6"
370,"r276","Frank Sinatra","ARTASUV1187B9A2B67"
384,"r552485","Burnt Friedman","AR4JOZW1187FB454A3"
398,"r290639","Soft Machine","ARH74AC1187FB53963"
412,"r85525","New Boyz","AROJHBE123E29C2453"
424,"r293984","Tony! Toni! Toné!","ARNKGA11187FB4C938"
437,"r2318","Johnny Cash","ARH861H1187B9B799E"
450,"r175644","Grandaddy","ARMJ6T21187FB3950E"
463,"r85632","Morphine","ARVHCWL1187B9B8F60"
477,"r87769","Bury Your Dead","ARG9E8O1187B99AB4F"
310,"r50751","Pharoahe Monch","ARXOSRG1187FB4AE0D"
311,"r125412","Deerhoof","ARC51DL1187B9A9FED"
312,"r89449","Band Of Skulls","ARONQXK122BCFC9386"
313,"r57785","Tosca","ARWXBCL1187FB59873"
314,"r192993","George Michael","ARAKARO1187B9A1EB6"
315,"r66515","Biosphere","ARLUY0Z1187FB384D4"
